ContigName	UniqueTotReads	MultiTotReads	totalreadsgoodmapped
2598858-2601929	32	68	100
c2595355-2593832	3	71	74
c2597106-2595574	0	5	5
c2598562-2597207	9	4	13
c2604454-2602106	0	4	4
c2605922-2604486	0	2	2
c2606381-2605944	0	0	0
c2607314-2606418	0	0	0
c2608249-2607458	0	4	4
c2609546-2608269	1	2	3
c2610356-2609697	0	0	0
c2611458-2610496	0	0	0
c2612430-2611477	0	0	0
c2614109-2612517	0	0	0
c2615274-2614312	0	0	0
c2616246-2615293	0	0	0
c2617928-2616333	0	0	0
c2619247-2618063	0	2	2
c2620369-2619413	0	0	0
c2622143-2620551	0	3	3
c2624124-2622520	1	0	1
c2626110-2624512	0	0	0
c2626386-2626264	0	0	0
c2628158-2626563	0	1	1
c2630269-2628314	1	3	4
c2631106-2630366	0	2	2
c2632432-2631140	0	2	2
c2633881-2632562	1	0	1
c2634683-2633865	0	0	0
c2635627-2634680	0	0	0
c2636747-2635629	5	2	7
